club_name,club_logo,fm_name
Sivasspor,https://tmssl.akamaized.net/images/wappen/small/2381.png?lm=1408653992,Sivasspor
Milton Keynes Dons,https://tmssl.akamaized.net/images/wappen/small/991.png?lm=1457991827,MK Dons
Sheffield Wednesday,https://tmssl.akamaized.net/images/wappen/small/1035.png?lm=1643214896,Sheff Wed
Ipswich Town,https://tmssl.akamaized.net/images/wappen/small/677.png?lm=1407655249,Ipswich
Gaziantep FK,https://tmssl.akamaized.net/images/wappen/small/2832.png?lm=1618435990,Gaziantep FK
HNK Rijeka,https://tmssl.akamaized.net/images/wappen/small/144.png?lm=1582550780,Rijeka
AEK Athens,https://tmssl.akamaized.net/images/wappen/small/2441.png?lm=1412097069,AEK
Kasimpasa,https://tmssl.akamaized.net/images/wappen/small/10484.png?lm=1408653850,Kasımpaşa
Antalyaspor,https://tmssl.akamaized.net/images/wappen/small/589.png?lm=1473110173,Antalyaspor
FK Rostov,https://tmssl.akamaized.net/images/wappen/small/1083.png?lm=1604130993,Rostov
BK Häcken,https://tmssl.akamaized.net/images/wappen/small/1109.png?lm=1406273241,BK Häcken
Derby County,https://tmssl.akamaized.net/images/wappen/small/22.png?lm=1407654006,Derby
Caykur Rizespor,https://tmssl.akamaized.net/images/wappen/small/126.png?lm=1443714784,Rizespor
Luton Town,https://tmssl.akamaized.net/images/wappen/small/1031.png?lm=1457723228,Luton
FC Slovan Liberec,https://tmssl.akamaized.net/images/wappen/small/697.png?lm=1665901264,Slovan Liberec
Göztepe,https://tmssl.akamaized.net/images/wappen/small/1467.png?lm=1441199242,Göztepe
None,None,Krylja Sovetov
FC Midtjylland,https://tmssl.akamaized.net/images/wappen/small/865.png?lm=1518117451,FC Midtjylland
Doncaster Rovers,https://tmssl.akamaized.net/images/wappen/small/2454.png?lm=1409253612,Doncaster
Bröndby IF,https://tmssl.akamaized.net/images/wappen/small/206.png?lm=1518117616,Brøndby IF
None,None,Dinamo Moscow
CSKA-Sofia,https://tmssl.akamaized.net/images/wappen/small/208.png?lm=1631096410,CSKA-Sofia
Rubin Kazan,https://tmssl.akamaized.net/images/wappen/small/2698.png?lm=1561987986,Rubin
AC Sparta Prague,https://tmssl.akamaized.net/images/wappen/small/197.png?lm=1623871758,Sparta Prague
Kilmarnock FC,https://tmssl.akamaized.net/images/wappen/small/2553.png?lm=1568027450,Kilmarnock
Huddersfield Town,https://tmssl.akamaized.net/images/wappen/small/1110.png?lm=1567439677,Huddersfield
Olympiacos Piraeus,https://tmssl.akamaized.net/images/wappen/small/683.png?lm=1447787802,Olimpija
Oxford United,https://tmssl.akamaized.net/images/wappen/small/988.png?lm=1522938199,Oxford
Barnsley FC,https://tmssl.akamaized.net/images/wappen/small/349.png?lm=1574162298,Barnsley
NK Osijek,https://tmssl.akamaized.net/images/wappen/small/327.png?lm=1488628710,Osijek
FC Sochi,https://tmssl.akamaized.net/images/wappen/small/41231.png?lm=1549213557,Sochi
Panathinaikos Athens,https://tmssl.akamaized.net/images/wappen/small/265.png?lm=1629382830,Panathinaikos
Hammarby IF,https://tmssl.akamaized.net/images/wappen/small/1059.png?lm=1420188123,Hammarby IF
None,None,Bld. Erzurumspor
Wycombe Wanderers,https://tmssl.akamaized.net/images/wappen/small/2805.png?lm=1524827118,Wycombe
Ludogorets Razgrad,https://tmssl.akamaized.net/images/wappen/small/31614.png?lm=1629528048,Ludogorets
MKE Ankaragücü,https://tmssl.akamaized.net/images/wappen/small/868.png?lm=1582635029,Ankaragücü
Arsenal Tula,https://tmssl.akamaized.net/images/wappen/small/3729.png?lm=1408774122,Arsenal Tula
Akhmat Grozny,https://tmssl.akamaized.net/images/wappen/small/3725.png?lm=1497737399,Akhmat
FC Viktoria Plzen,https://tmssl.akamaized.net/images/wappen/small/941.png?lm=1571347012,Viktoria Plzen
CFR Cluj,https://tmssl.akamaized.net/images/wappen/small/7769.png?lm=1414777942,CFR Cluj
Genclerbirligi Ankara,https://tmssl.akamaized.net/images/wappen/small/820.png?lm=1408653608,Gençlerbirliği
None,None,Hapoel Be'er-Sheva
Ferencvárosi TC,https://tmssl.akamaized.net/images/wappen/small/279.png?lm=1565263263,Ferencváros
Salford City,https://tmssl.akamaized.net/images/wappen/small/34888.png?lm=1701442384,Salford
Hull City,https://tmssl.akamaized.net/images/wappen/small/3008.png?lm=1562662491,Hull
Zorya Lugansk,https://tmssl.akamaized.net/images/wappen/small/10690.png?lm=1677239691,Zorya
Kayserispor,https://tmssl.akamaized.net/images/wappen/small/3205.png?lm=1520239955,Kayserispor
Charlton Athletic,https://tmssl.akamaized.net/images/wappen/small/358.png?lm=1448178743,Charlton
Lincoln City,https://tmssl.akamaized.net/images/wappen/small/1198.png?lm=1407488411,Lincoln
Vorskla Poltava,https://tmssl.akamaized.net/images/wappen/small/2740.png?lm=1420985318,Vorskla
Rotherham United,https://tmssl.akamaized.net/images/wappen/small/1194.png?lm=1407655489,Rotherham
Rukh Lviv,https://tmssl.akamaized.net/images/wappen/small/48726.png?lm=1575994146,Rukh Lviv
Crewe Alexandra,https://tmssl.akamaized.net/images/wappen/small/1042.png?lm=1520420741,Crewe
Vålerenga Fotball Elite,https://tmssl.akamaized.net/images/wappen/small/76.png?lm=1450646255,Vålerenga
Motherwell FC,https://tmssl.akamaized.net/images/wappen/small/987.png?lm=1632586564,Motherwell
FK Khimki,https://tmssl.akamaized.net/images/wappen/small/3719.png?lm=1536858311,Khimki
Sunderland AFC,https://tmssl.akamaized.net/images/wappen/small/289.png?lm=1485645633,Sunderland
HNK Gorica,https://tmssl.akamaized.net/images/wappen/small/24575.png?lm=1438118371,HNK Gorica
Olimpik Donetsk,https://tmssl.akamaized.net/images/wappen/small/23611.png?lm=1553350762,Olimpik D
Asteras Tripolis,https://tmssl.akamaized.net/images/wappen/small/6676.png?lm=1610114023,Asteras Tripolis
FK Radnicki Nis,https://tmssl.akamaized.net/images/wappen/small/7567.png?lm=1420204988,Radnički
Altay SK,https://tmssl.akamaized.net/images/wappen/small/2375.png?lm=1624497193,Altay
Diósgyőri VTK,https://tmssl.akamaized.net/images/wappen/small/9241.png?lm=1490820932,Diósgyőr
Sharjah FC,https://tmssl.akamaized.net/images/wappen/small/13613.png?lm=1513862650,Ural
Red Star Belgrade,https://tmssl.akamaized.net/images/wappen/small/159.png?lm=1567102522,Red Star
Wigan Athletic,https://tmssl.akamaized.net/images/wappen/small/1071.png?lm=1407653830,Wigan
FK Mlada Boleslav,https://tmssl.akamaized.net/images/wappen/small/5546.png?lm=1419784887,Mlada Boleslav
Dundee United FC U18,https://tmssl.akamaized.net/images/wappen/small/67288.png?lm=1658408113,Dundee Utd
Molde FK,https://tmssl.akamaized.net/images/wappen/small/687.png?lm=1409159512,Molde
None,None,Bodø/Glimt
Fehérvár FC,https://tmssl.akamaized.net/images/wappen/small/11107.png?lm=1582047467,Fehérvár FC
Lechia Gdansk,https://tmssl.akamaized.net/images/wappen/small/4000.png?lm=1549363805,Lechia
Bursaspor,https://tmssl.akamaized.net/images/wappen/small/20.png?lm=1441719256,Bursaspor
Heart of Midlothian FC,https://tmssl.akamaized.net/images/wappen/small/43.png?lm=1522182618,Hearts
Rukh Lviv,https://tmssl.akamaized.net/images/wappen/small/48726.png?lm=1575994146,Lviv
SK Dnipro-1,https://tmssl.akamaized.net/images/wappen/small/60551.png?lm=1507128660,Dnipro-1
Rotherham United,https://tmssl.akamaized.net/images/wappen/small/1194.png?lm=1407655489,Other
None,None,Olexandriya
Rotor Volgograd,https://tmssl.akamaized.net/images/wappen/small/3609.png?lm=1572768340,Rotor
Paris Saint-Germain,https://tmssl.akamaized.net/images/wappen/small/583.png?lm=1522312728,Aris
Portsmouth FC,https://tmssl.akamaized.net/images/wappen/small/1020.png?lm=1565282045,Portsmouth
Peterborough United,https://tmssl.akamaized.net/images/wappen/small/1072.png?lm=1411463544,Peterborough
Malmö FF,https://tmssl.akamaized.net/images/wappen/small/496.png?lm=1409230098,Malmö FF
Kolos Kovalivka,https://tmssl.akamaized.net/images/wappen/small/48332.png?lm=1546026029,Kolos Kovalivka
TJ Desna,https://tmssl.akamaized.net/images/wappen/small/default.png?lm=1457423031,Desna
Botev Plovdiv,https://tmssl.akamaized.net/images/wappen/small/2531.png?lm=1497946814,Botev Plovdiv
Odds BK,https://tmssl.akamaized.net/images/wappen/small/1058.png?lm=1579446177,Odd
SönderjyskE,https://tmssl.akamaized.net/images/wappen/small/5817.png?lm=1699200039,SønderjyskE
Viking FK,https://tmssl.akamaized.net/images/wappen/small/239.png?lm=1615368654,Viking
Rochdale AFC,https://tmssl.akamaized.net/images/wappen/small/1088.png?lm=1411412476,Rochdale
None,None,FC Nordsjælland
Shrewsbury Town,https://tmssl.akamaized.net/images/wappen/small/3054.png?lm=1474148711,Shrewsbury
Rosenborg BK,https://tmssl.akamaized.net/images/wappen/small/195.png?lm=1522010135,Rosenborg
Hibernian FC,https://tmssl.akamaized.net/images/wappen/small/903.png?lm=1534336641,Hibernian
